0,0,0,0,0,0
200,0,1,0,0,0
400,3,4,1,1,0
600,6,4,3,10,0
800,1,0,1,0,1
1000,1,1,0,1,0
1200,2,0,1,4,0
1400,3,1,0,3,0
1600,4,2,0,3,0
1800,4,2,1,3,0
2000,4,2,0,3,0
2200,6,2,0,11,0
2400,8,3,0,15,1
2600,7,2,1,12,0
2800,8,2,1,15,0
3000,9,3,0,20,0
3200,10,3,1,8,0
3400,10,4,1,8,1
3600,14,4,2,8,1
3800,14,5,1,10,0
4000,16,5,1,10,1
4200,17,4,2,11,0
4400,18,5,2,11,0
4600,19,5,2,12,1
4800,22,5,2,13,0
5000,25,6,4,14,1
5200,32,8,2,17,1
5400,30,8,3,20,0
5600,30,8,5,18,1
5800,33,8,3,19,0
6000,36,8,4,22,1
6200,38,8,5,21,0
6400,41,9,4,25,0
6600,43,11,4,27,1
6800,48,10,4,27,1
7000,53,11,5,30,1
7200,59,13,5,38,1
7400,59,14,5,31,1
7600,63,13,5,37,0
7800,62,14,7,38,1
8000,66,16,5,41,1
8200,71,15,6,39,1
8400,76,16,7,42,1
8600,81,16,6,43,1
8800,85,17,7,46,1
9000,88,17,7,46,1
9200,91,18,8,45,1
9400,97,20,7,49,1
9600,99,19,8,50,1
9800,103,21,9,57,1
10000,109,22,8,74,1
10200,112,22,9,58,1
10400,122,22,10,59,1
10600,123,23,12,65,1
10800,127,25,10,63,1
11000,135,25,12,65,1
11200,137,26,11,72,1
11400,145,26,11,72,1
11600,148,27,13,70,1
11800,153,29,12,73,1
12000,158,30,12,76,2
12200,166,31,12,76,2
12400,171,31,14,81,2
12600,181,32,15,83,2
12800,186,34,14,89,2
13000,191,36,15,90,1
13200,203,36,15,94,2
13400,204,37,16,100,2
13600,210,38,16,104,1
13800,218,37,18,103,2
14000,227,40,16,111,2
14200,234,41,17,112,2
14400,240,41,18,111,2
14600,245,42,20,120,2
14800,255,44,19,122,2
15000,261,47,19,123,2
15200,270,46,20,122,2
15400,277,46,20,121,2
15600,282,48,21,131,3
15800,300,48,24,138,3
16000,307,53,21,135,2
16200,312,52,23,134,3
16400,318,54,23,134,3
16600,329,55,23,144,3
16800,338,58,24,144,3
17000,343,58,26,146,4
17200,355,59,25,149,3
17400,364,59,27,150,3
17600,378,60,27,159,3
17800,383,61,27,169,3
18000,397,62,28,176,3
18200,404,65,32,180,4
18400,411,68,29,174,4
18600,419,67,30,181,3
18800,432,69,33,177,3
19000,440,69,35,184,4
19200,454,71,33,190,4
19400,474,73,36,208,4
19600,481,76,35,210,4
19800,488,76,34,212,3
